Sample,midx,midy,midz,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,minzone,alteration,Ai
S-451,2211.09,3991.47,4060.72,0.27,0.06,1.55,0.14,0.57,27.16,13.63,19.58,10.06,0.8,5.98,1.71,0,0.02,2.59,SSF,POT,0.16
S-1144,2736.04,4071.22,4196.95,0.003014578,0,0.9,0.030636116,0.81,29.24,14.26,18.35,3.24,0.6,4.53,0.8,0.18,1.37,2.66,SSD,POT,0.52
S-1006,3295.88,3411.95,4092.05,0.016925089,0,1.89,0.002797198,0.57,30.6,8.66,15.78,16.58,1.23,4.01,1.9,0.13,4.74,2.7,PRI,POT,0.38
S-670,2334.14,3771.63,3918.9,0.02,0,0.72,0.65,0.1,22.57,22.95,32.46,3.2,0.29,5.82,0.6,0.19,5.85,2.68,PRI,POT,0.41
S-725,1582.9,3856.63,4028.77,0.31,0.06,0.34,0.06,0.47,21.47,9.06,10.18,6.29,1.34,6.03,2.44,0,0.02,,SSF,POT,0.21
S-225,3564.85,4032.01,4419.55,0.33,0.1,0.63,0.15,0.13,30.93,8.49,30.68,3.77,2.43,4.35,1.68,0.01,0.07,2.55,SSF,POT,0.25
S-517,2030.2,3943.56,4004.77,0.13,0,1.16,0.13,0.65,23.66,11.7,28.8,9.24,0.83,5.86,1.56,0.09,1.04,2.59,SSF,POT,0.19
S-698,2640.54,3508.97,3927.76,0.01,0,1.3,0.45,0.16,25.06,14.99,22.6,3.15,0.26,6.82,0.51,0.03,3.1,2.67,PRI,POT,0.36
S-463,3295.85,3414.1,4084.6,0.01,0,1.49,0.01,0.13,25.3,11.68,22.17,11.37,1.02,4.21,1.04,0.17,3.77,2.7,PRI,POT,0.34
S-1217,4186.77,3693.82,4620.16,0.62,0.01,0.45,0.06,1.24,24.84,0.97,11.45,11.27,0.45,12.37,4.49,0,0.04,2.58,SSF,AR,0.07
S-1231,2651.51,3475.63,3844.16,0.04,0,0.45,0.39,0.02,30.99,17.12,18.37,1.71,0.1,5.98,0.64,0.08,3.27,2.66,PRI,POT,0.39
S-140,1892.33,3742.27,3960.95,0.25,0.06,1.39,0.41,0.56,30.16,6.21,23.34,9.43,0.42,8.4,1.81,0.01,0.03,2.56,SSF,POT,0.16
S-989,2307.64,3883.86,3929.87,0.008345502,0.01,0.49,0.320139166,0.67,21.52,15.13,33.62,2.81,0.66,7.68,0.58,0.08,4.09,2.67,PRI,POT,0.51
S-562,2635.4,3765.57,3956.15,0.02,0,0.41,0.82,0.85,24.82,15.11,31.1,1.98,0.66,5.94,0.53,0.04,4.14,2.66,PRI,POT,0.39
S-1154,3220.82,3347.96,3967.06,0.002049274,0,1.02,0.246817425,0.01,24.15,14.36,16.77,8.42,0.21,5.92,1.57,0.07,5.56,2.68,PRI,POT,0.35
S-1087,2430.54,3994.15,4047.87,0.023292688,0.02,1.34,0.548892004,0.31,22.79,15.9,27.04,3.85,0.5,12.92,0.99,0.08,3.69,2.69,SSD,POT,0.4
S-303,2636.34,3764.18,4097.14,0.11,0.01,0.12,0.16,0.03,21.75,11.79,29.5,1.48,0.62,8.93,0.74,0.03,0.01,2.56,SSF,POT,0.22
S-1169,3475.6,3180.05,4181.44,0.018514907,0,1.9,0.004267401,5.63,22.48,1.66,4.74,10.14,1.12,14.46,3.49,0.06,0.21,2.79,SSD,CLO-SER,0.21
S-1045,3815.49,3829.01,4305.84,0.337658284,0.07,1.25,0.045961439,0.37,22.49,3.27,18.99,10.29,0.97,14.71,2.14,0.01,0.09,2.59,SSF,POT,0.14
S-30,1934.34,3964.13,4215.28,0.63,0.02,0.44,0.02,2.9,37.67,3.79,19.41,7.19,1.23,5.45,1.41,0,0.02,2.56,SSF,POT,0.21
S-172,3627.79,3920.52,4373.21,0.2,0.06,1.12,0.37,1.22,33.41,15.62,29.81,5.32,0.7,4.41,2.52,0.01,0.06,2.54,SSF,POT,0.18
S-259,2012.41,3672.34,3943.82,0.25,0.09,1.85,0.38,0.02,24.38,16.47,36.24,7.22,0.72,6.75,1.08,0.04,0.05,2.53,SSF,POT,0.21
S-319,3295.98,3391.82,4160.92,0.07,0.03,2.38,0.01,0.83,36.21,9.14,19.06,16.93,0.47,2.4,2.09,0,0.03,2.6,SSF,POT,0.22
S-714,3232.15,3860.54,4154.75,0.07,0.01,1.03,0.89,0.05,31.15,19.34,26.1,2.9,0.23,5.39,0.81,0.11,2.41,2.65,SSD,POT,0.48
S-392,2503.99,3873.29,4132.21,0.49,0.03,0.97,0.09,0.1,21.76,13.03,25.42,4.32,0.79,11.57,1.12,0.01,0.05,2.57,SSF,POT,0.35
S-742,3233.78,3872.76,4221.91,0.16,0.06,0.91,0.18,0.05,21.35,17.97,30,3.4,2.34,7.13,0.77,0.01,0.05,,SSF,POT,0.31
S-625,3051.81,3167.66,4019.3,0,0,1.74,0.01,0.45,25.48,9.12,9.86,9.96,0.07,6.91,1.31,0.05,2.41,2.7,PRI,POT,0.29
S-1124,1681.59,4198.38,4194.35,0.407154732,0.06,0.55,0.150043943,0.01,24.7,11.56,36.81,4.28,0.58,7.27,1.99,0.01,0.05,2.53,SSF,POT,0.29
S-67,1759.73,4016.86,4110.11,0.16,0.03,0.99,0.06,0.83,26.29,9.51,23.88,4.61,1.44,5.21,1.64,0.01,0.01,2.5,SSF,POT,0.26
S-617,2729.39,3758.33,3986.41,0.02,0,1.03,0.2,0.36,22.26,13.37,36.05,3.58,0.28,6.05,0.5,0.04,1.4,2.66,PRI,POT,0.39
S-1127,1681.88,4214.65,4131.94,0.01326328,0.01,1.03,0.60951139,0.17,22.97,15.94,21.92,4.25,0.8,7.8,1.6,0.18,5.1,2.66,PRI,POT,0.47
S-267,3489.4,3413.49,4312.59,0.02,0,1.33,0.01,1.27,51.42,13.77,16.19,12.88,0.84,0.19,0.54,0.04,0.27,2.55,SSF,POT,0.27
S-1026,3276.81,3248.51,4069.36,0.002117065,0,1.52,0.02634124,4.27,26.65,2.25,6.85,13.39,0.63,10.38,3.55,0.06,5.35,2.79,PRI,POT,0.27
S-443,3478.2,3378.18,4227.66,0.05,0.01,0.93,0.11,0.9,27.22,7.53,20.61,14.19,0.55,5.08,1.6,0.01,0.05,2.61,SSF,POT,0.21
S-231,3642.69,3985.96,4395.57,0.25,0.05,1.39,0.15,0.4,30.86,15.54,24.79,9,0.78,5.27,2.04,0.01,0.04,2.69,SSF,POT,0.29
S-246,2884.69,4045.25,4337.13,0.31,0.12,0.81,0.12,0.31,31.14,14.84,32.67,3.11,0.98,2.05,2.1,0.02,0.05,2.6,SSF,POT,0.31
S-1071,3933.67,3934.94,4400.03,0.262882207,0.02,1.53,0.061296864,2.42,40.42,0.67,17.05,30.98,0.69,0.55,1.83,0.01,0.09,2.65,SSF,POT,0.14
S-529,3341.27,3656.76,4088.45,0.03,0,0.82,0.54,0.12,30.59,18.99,20.21,3.45,0.83,5.09,0.77,0.07,3.31,2.67,PRI,POT,0.41
S-313,3308.45,3627.34,4148.16,0.01,0,1.38,0.32,0.01,29.05,16.67,19.2,5.45,0.63,4.41,1.03,0.08,2.86,2.63,SSD,POT,0.45
S-604,3306.59,3677.09,4088.11,0.04,0,0.74,0.99,0.01,29.22,19.41,25.09,2.64,0.66,5.3,0.68,0.04,3.79,2.64,PRI,POT,0.34
S-1210,3655.47,3520.33,4425.72,0.41,0.02,0.88,0.1,2.84,34.56,3.55,23.29,26.51,0.53,2.98,1.04,0.01,0.04,2.53,SSF,POT,0.12
S-262,1869.16,3519.9,3968.13,0.04,0.01,1.58,0.04,1.09,31.12,4.49,15.95,23.57,1.14,6.15,0.63,0.09,0.06,2.62,SSF,POT,0.22
S-595,2231.7,3763.75,3963.25,0.01,0,1.13,0.45,0.35,21.06,17.3,35.95,2.52,0.25,6.18,0.52,0.02,5.07,2.67,PRI,POT,0.26
S-505,2160.87,3382.47,3888.87,0.01,0,2.36,0.19,0.02,25.8,18.18,32.02,5.62,0.53,5.69,0.54,0.01,0.2,2.53,SSD,POT,0.25
S-73,1810.71,3945.29,4123.83,0.76,0.02,0.27,0.07,2.69,26.38,8.02,17.59,4.72,1.45,7.2,2.16,0.01,0.04,2.52,SSF,POT,0.24
S-96,1833.36,3914.88,4088.21,0.8,0.04,0.23,0.08,0.4,30.36,6.44,19.11,6.07,0.47,7.31,2.44,0.24,0.34,2.57,SSF,POT,0.22
S-34,1986.65,3945.31,4191.38,0.59,0.03,0.33,0.04,2.5,35.37,4.1,21.01,10.64,1.33,4.69,2.31,0,0.09,2.6,SSF,POT,0.2
S-272,3708.17,3914.89,4419.04,0.12,0.04,1.15,0.07,0.27,28.2,6.4,26.91,10.8,0.81,4.49,2.91,0.04,0.18,2.51,SSF,POT,0.19
S-213,2336.69,3200.18,3942.4,0.1,0.02,1.78,0.04,0.2,30.34,9.68,28.05,7.85,0.55,6,1.27,0.02,0.08,2.55,SSF,POT,0.23
S-400,2630.76,3614.45,4005.69,0.06,0.01,0.98,0.28,0.16,27.54,14.87,24.96,5.65,0.87,6.11,0.7,0.08,5.43,2.68,PRI,POT,0.36
S-640,3139.08,3441.27,4031.02,0.01,0,1.23,0.27,0.25,35.9,22.66,20.78,7.09,0.62,1.68,1.71,0.04,0.39,2.63,SSD,POT,0.4
S-377,3130.28,3730.27,4146.12,0.15,0.03,0.85,0.08,0.01,26.5,17.86,24.87,1.62,0.54,6.1,0.62,0.01,0.04,2.57,SSF,POT,0.42
S-79,3388.83,4023.57,4418.3,0.79,0.1,1.06,0.14,0.19,29.67,18.07,30.97,1.69,1.23,4.24,1.29,0,0.05,2.57,SSF,POT,0.35
S-86,3602.12,3597.13,4422.4,0.4,0.2,1.59,0.08,3.33,40.56,7.01,26.3,8.32,1.16,3.12,1.31,0,0.04,2.54,SSF,POT,0.2
S-352,2767.66,3958.64,4201.8,0.01,0,0.64,0.09,0.39,22.23,16.25,23.07,3,0.4,6,0.94,0.08,3.63,2.66,PRI,POT,0.37
S-84,1915.66,3972.37,4099.06,0.67,0.07,0.29,0.05,0.79,25.98,8.55,17.6,5.36,1.29,6.55,2.25,0.01,0.36,2.61,SSF,POT,0.23
S-428,1758.34,3831.12,4080.43,0.79,0.06,0.38,0.06,1.55,32.56,4.01,16.42,19.45,2.17,5.93,1.25,0,0.07,2.62,SSF,POT,0.13
S-448,1667.61,3892.25,4049.61,0.9,0.16,1,0.14,1.24,34.51,4.63,15.17,22.04,1.18,5.02,1.28,0.01,0.04,2.66,SSF,POT,0.16
S-1005,3021.6,3490.97,3695.79,0.111597532,0.01,0.99,0.342199497,0.01,11.89,23.63,19.39,5.19,1.32,8.42,1.45,0.2,2.13,2.7,PRI,POT,0.38
S-577,4098.14,3681.59,4504,0.24,0,0.85,0.02,2.55,20.81,7.3,17.9,16.47,0.69,4.43,5.94,0,0.03,2.64,SSF,AR,0.08
S-375,3161.92,3893.78,4206.94,0.21,0.02,0.82,0.47,0.08,31.9,18.75,20.98,1.2,0.39,6.49,0.67,0.01,0.1,2.59,SSF,POT,0.31
S-473,2746.8,3704.39,4084.44,0.41,0.03,1.33,0.15,0.09,27.44,14.91,34.8,6.29,0.57,5.58,0.63,0,0.02,2.58,SSF,POT,0.23
