Sample,midx,midy,midz,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,minzone,alteration,Ai
S-160,3007.49,4024.12,4298.49,0.07,0.01,0.39,0.27,0.02,20.83,14.03,31.25,0.88,0.14,10.09,0.57,0.03,0.1,2.64,SSF,POT,0.28
S-1098,1835.79,4294.04,4236.85,0.128660524,0.01,0.59,0.017018743,0.58,35.43,6.22,40.33,10.32,1.02,2.64,1.03,0.01,0.07,2.55,SSF,POT,0.23
S-1232,2651.51,3475.63,3844.16,0.037293983,0.000705989,0.445322757,0.390113364,0.016435835,30.99147294,17.12452482,18.37247283,1.707261687,0.095841098,5.980520448,0.641055039,0.07975755,3.270265702,2.65,PRI,POT,0.41
S-345,2825.19,3933.56,4212.25,0.22,0.02,1.04,0.16,0.52,26.3,14.22,24.15,3.57,0.4,5.63,0.89,0,0.01,2.59,SSF,POT,0.34
S-555,2651.63,3504.09,3927.9,0.01,0,0.69,0.68,0.29,24.99,16.2,19.41,1.35,0.05,7.76,0.76,0.04,2.67,2.65,PRI,POT,0.35
S-1139,3475.79,4169.44,4283.96,0.006972682,0,1.06,0.150195603,0.21,23.87,13.32,17.83,4.24,0.62,5.29,1.34,0.05,4.97,2.69,PRI,POT,0.48
S-1072,3933.67,3938.87,4385.55,0.211932686,0.03,0.55,0.045317895,2,32.99,1.86,31.78,20.31,0.61,1.37,3.42,0,0.03,2.57,SSF,POT,0.2
S-631,3316.17,3833.06,4059.67,0.04,0.01,1.18,0.22,0.14,30.91,20.46,19.39,2.41,0.2,4.24,1.04,0.14,2.18,2.65,PRI,POT,0.41
S-413,2615.09,3965.95,4132.9,0.01,0,1.27,0.13,0.76,25.29,14.04,28.47,4.17,0.59,4.89,1.35,0.06,3.92,2.66,PRI,POT,0.29
S-647,2639.2,3525.99,3962.84,0.01,0,1.1,0.36,0.09,25.23,16.66,21.28,2.79,0.17,8.31,0.67,0.08,3.3,2.67,PRI,POT,0.38
S-1244,2777.23,3525.65,3831.59,0.03,0,1,0.89,0.01,19,20.1,17.9,2.28,0.09,6.25,0.66,0.07,3.51,2.66,PRI,POT,0.37
S-632,3281.16,3819.87,4091.99,0.06,0.01,1.7,0.84,0.09,24.89,15.51,24.24,1.29,0.31,4.56,0.8,0.13,1.07,2.68,PRI,POT,0.46
S-506,3259.97,3294.66,4118.5,0,0,1.81,0,1.54,35.99,6.83,15.7,21.21,0.76,3.1,0.94,0.01,0.15,2.6,SSD,CLO-SER,0.2
S-1259,2652.39,3453.17,3776.23,0.00651404,0.00378464,0.729443943,0.531723691,0.044026051,25.49037751,20.4738775,18.48585723,2.891768986,0.448799326,5.193277932,0.519475161,0.064243957,2.884616545,2.67,PRI,POT,0.35
S-653,4125.91,3954.69,4516.24,0.59,0.04,1.07,0.16,1.46,33.01,2.37,35.62,11.35,0.63,8.12,2.41,0.01,0.03,2.55,SSF,POT,0.11
S-999,2777.04,3552.87,3763.71,0.029309496,0.01,0.25,0.794701713,0.01,22.97,16.42,9.84,1.78,0.73,9.49,0.35,0.05,2.83,2.63,PRI,POT,0.41
S-1163,3452.1,3199.55,4241.07,0.00094487,0,0.55,0.001668334,4.76,23.61,2.3,14.5,8.65,1.84,10.75,3.89,0.01,0.13,2.69,SSD,CLO-SER,0.14
S-170,3159.51,4029.72,4417.46,0.03,0.02,0.05,0.01,0.05,27.75,19.39,28.33,1.06,0.46,5.61,1.25,0.03,0.15,2.55,SSF,POT,0.35
S-239,1966.63,3818.08,3991.37,0.5,0.05,0.79,0.27,0.91,31.17,8.37,24.25,7.1,0.61,4.43,2.4,0,0.02,2.52,SSF,POT,0.2
S-434,2404.16,3688.95,4024.96,0.25,0.03,0.88,0.48,0.1,20.86,23.74,37.39,4.44,0.66,5.43,0.52,0.01,0.08,2.55,SSF,POT,0.25
S-1242,2777.26,3514.75,3859.35,0.01,0,0.78,0.44,0.02,22.88,18.67,16.87,2.93,0.28,6.65,0.93,0.04,5.11,2.68,PRI,POT,0.45
S-221,3564.31,4051.31,4376.7,0.3,0.08,0.51,0.08,0.89,33.44,6.91,25,18.13,1.71,2.7,2.35,0.01,0.05,2.67,SSF,POT,0.29
S-81,2113.67,4051.91,4136.91,0.9,0.07,0.66,0.05,3.04,25.32,12.39,23.07,6.4,1.8,7.07,2.4,0.01,0.03,2.56,SSF,POT,0.19
S-152,3212.81,3989.88,4394.84,0.49,0.03,0.48,0.18,0.05,26.49,16.36,26.61,1.16,0.42,9.2,1.1,0.01,0.02,2.61,SSF,POT,0.29
S-316,3308.98,3590.77,4191.88,0.07,0.01,1.76,0.2,0,33.67,16.5,23.18,7.37,0.93,3.64,0.91,0.01,0.02,2.56,SSF,POT,0.32
S-539,4035.2,3423.68,4525.78,0.37,0.01,0.57,0.11,4.69,33.79,3.15,21.31,20.91,1.28,2.27,3.54,0.01,0.03,2.64,SSF,AR,0.1
S-1292,3424.46,3585.11,4196.57,0,0,1.75,0.13,0.11,31.33,12.44,22.11,10.12,0.78,2.19,1.58,0.07,4.29,2.63,SSD,POT,0.42
S-565,2747.29,3693.03,3986.41,0.01,0,0.97,0.11,0.69,16.11,19.62,36.15,2.99,0.22,6.08,0.72,0.08,3.12,2.66,PRI,POT,0.32
S-462,3295.96,3398.48,4138.38,0,0,1.37,0,0.68,23.96,8.17,20.95,8.57,0.47,5.97,2.06,0.09,3.89,2.73,PRI,POT,0.3
S-44,2086.64,4067.05,4263.07,1.04,0.12,0.51,0.11,1.97,29.54,13.99,29.79,6.92,2.3,6.79,2.35,0,0.03,2.52,SSF,POT,0.18
S-490,3237.73,3747.54,4127.42,0.07,0.01,1.24,1.29,0.01,31.88,22.08,23.22,2.8,0.73,4.32,0.61,0.05,2.41,2.67,PRI,POT,0.43
S-136,2966.86,3945.7,4291.44,0.04,0,1.22,0.78,0.07,28.89,17.42,25.17,1.64,0.27,7.1,1.23,0.02,0.02,2.58,SSF,POT,0.55
S-610,3128.87,3549.62,4008.49,0.03,0.01,0.75,0.71,0.02,19.44,9.74,12.18,3.53,0.28,13.74,1.51,0.02,3.51,2.74,PRI,POT,0.22
S-326,3299.33,3467.13,4183.71,0.12,0.02,1.56,0.03,0.23,26.01,9.72,21.19,9.13,0.31,4.76,1.52,0,0.03,2.57,SSF,POT,0.19
S-566,2747.27,3686.11,3932.04,0.01,0,1.15,0.34,0.08,24.34,17.92,36.39,2.27,0.21,4.35,0.62,0.05,5.68,2.63,PRI,POT,0.4
S-1174,3491.46,3167.05,4140.81,0,0,0.95,0.012004241,4.25,27.8,1.97,2.92,9.1,0.91,10.18,3.85,0.03,0.29,2.55,PRI,CLO-SER,0.28
S-746,3110.18,4020.19,4209.18,0.03,0,0.59,1.07,0.01,35.63,22.28,17.39,1.75,0.5,6.74,0.71,0.2,2.04,,PRI,POT,0.54
S-1083,2430.59,4009.33,4130.99,0.722652876,0.01,0.69,0.358897726,0.51,15.87,16.74,34.79,5.97,0.3,9.42,0.85,0,0.04,2.57,SSF,POT,0.21
S-1047,3815.38,3821.1,4285.31,0.375675267,0.08,1.45,0.105166231,0.37,32.47,5.04,29.28,11.64,0.81,7.92,2.13,0.01,0.05,2.55,SSF,POT,0.27
S-1,1585.64,3882.77,4156.76,0.78,0.07,0.45,0.03,2.19,30.56,9.8,21.92,7.14,1.15,4.35,1.42,0,0.02,2.58,SSF,POT,0.21
S-522,2526.29,3512.34,3926.93,0.01,0,0.84,0.31,0.07,26.55,18.06,24.64,2.47,0.47,7.28,0.48,0.05,5.12,2.67,PRI,POT,0.37
S-405,2874.03,3634.64,4027.61,0.02,0.01,1.89,0.78,0.02,21.29,19.53,31.54,6.29,0.9,4.3,1.68,0.04,5.35,2.7,PRI,POT,0.29
S-331,2663.32,4040.83,4205.79,0.24,0.02,0.62,0.06,0.92,26.15,10.39,20.36,6.1,0.69,6.81,1.08,0.01,0.04,2.59,SSF,POT,0.29
S-998,2777.14,3541.24,3792.44,0.032953841,0.02,0.37,0.549213182,0.01,27.62,19.22,10.31,1.27,0.58,6.73,0.75,0.17,3.13,2.66,PRI,POT,0.47
S-607,3029.85,3788.84,3987.49,0.01,0,0.96,0.17,0.23,34.23,12.77,20.12,1.68,0.56,5.92,1.77,0.06,2.87,2.68,PRI,POT,0.4
S-1213,4144.87,4010.81,4473.73,0.66,0.06,0.77,0.2,1.89,22.49,2.89,37.47,18.94,0.57,2.82,2.78,0.02,0.03,2.58,SSF,POT,0.06
S-591,4177.91,3993.22,4514.34,0.86,0.04,1.05,0.04,1.49,28.35,4.37,37.43,17.74,0.66,3.65,1.04,0.02,0.04,2.6,SSF,POT,0.18
S-1243,2777.26,3514.75,3859.35,0.007000298,0.000191822,0.778008823,0.444435416,0.021274059,22.87855991,18.6719077,16.86600491,2.927000857,0.276531361,6.646220162,0.925629117,0.041549641,5.106362766,2.66,PRI,POT,0.45
S-1246,3587.82,3681.69,4288.77,0.23,0.02,1.44,0.27,0.16,28.96,15.55,23.78,5.95,1.11,4.67,0.52,0,0.01,2.54,SSF,POT,0.23
S-179,3551.89,3579.92,4277.93,0.33,0.06,1.03,0.31,0.76,39.33,16.05,23.99,6.57,0.46,2.47,2.65,0.03,0.1,2.56,SSF,POT,0.2
S-128,3422.31,3340.54,4097.37,0.01,0,1.11,0.19,0.71,38.1,8.58,16.67,7.75,0.28,5.59,1.19,0.07,3.26,2.73,PRI,CLO-SER,0.39
S-726,2909.99,3298.24,3843.46,0.02,0.03,0.89,0.7,0.02,28.31,14.02,13.96,6.94,1.22,6.7,1.28,0.05,3.65,,PRI,POT,0.39
S-996,2307.87,3870.68,3895.83,0.024553543,0,0.9,0.48787119,0.37,26.15,20.62,16.11,7.78,0.63,7.39,0.94,0.12,5.68,2.68,PRI,POT,0.41
S-612,3183.91,3654.99,4002.4,0.03,0.01,0.62,1,0.1,27.54,15.41,22.93,2.08,0.32,6.27,0.82,0.03,2.45,2.65,PRI,POT,0.35
S-1209,3640.06,3500.04,4418.5,0.45,0.02,1.69,0.17,1.69,38.06,3.05,18.52,24.21,0.66,3.54,1.24,0.02,0.04,2.56,SSF,POT,0.15
S-92,1887,3800.5,4042.06,0.43,0.03,0.28,0.12,2.54,37.83,2.97,18.23,13.35,0.49,6.26,2.01,0.02,0.07,2.6,SSF,POT,0.17
S-1249,3680.67,3634.35,4294.4,0.18,0.02,1.21,0.11,1.14,26.09,8.86,23.59,12.21,0.36,5.36,1.85,0,0.02,2.57,SSF,POT,0.22
S-188,2484.38,3300.59,3884.56,0.01,0.01,1.16,0.4,0.1,24.47,21.16,24.51,7.08,0.21,5.17,0.91,0.09,4.7,2.66,PRI,POT,0.38
S-383,3289.38,3612.87,4220.19,0.2,0.04,1.65,0.28,0,32.31,15.74,20.1,5.84,0.61,6.06,1.48,0.01,0.07,2.57,SSF,POT,0.31
S-288,4082.77,3555.33,4705.64,0.02,0.01,0.36,0,3.88,28.53,2.23,26.54,19.81,0.48,3.05,3.78,0.04,0.09,2.6,SSF,AR,0.13
S-1200,4143.65,4009.31,4254.19,0.005256862,0,1.38,0.001358848,1.52,37.54,3.9,20.77,17.38,0.71,2.99,1.25,0.12,4.14,2.73,PRI,AR,0.41
S-71,1912.41,4000.4,4173.92,0.5,0.08,0.51,0.09,1.23,35.21,5.65,20.99,6.58,2.16,4.73,2.17,0.01,0.17,2.5,SSF,POT,0.16
S-305,3295.95,3403.11,4122.54,0,0,1.35,0,0.32,26.48,6.03,19.01,12.26,0.39,5.98,1.64,0.07,3.54,2.71,PRI,POT,0.34
S-134,3404.77,4013.9,4277.44,0.02,0,0.63,0.39,0.07,22.62,15.92,34.71,0.93,0.49,7.66,0.62,0.12,4.33,2.68,PRI,POT,0.51
S-314,3296,3380.33,4199.23,0.02,0.01,1.81,0.02,1.81,32.93,3.98,15.48,17.98,0.42,3.02,1.57,0,0.02,2.59,SSF,POT,0.28
S-545,4087.46,3742.53,4528.7,0.24,0.1,0.76,0.1,2.51,24.44,2.65,20.2,16.7,1.62,4.59,7.94,0.01,0.03,2.6,SSF,AR,0.1
S-342,3057.16,3894.34,4209.21,0.08,0.02,1.66,0.52,0,28.88,16.87,26.39,1.68,0.5,4.83,0.4,0,0.01,2.58,SSF,POT,0.36
S-148,2785.92,3130.57,3674.34,0.05,0,0.99,0.77,0.07,27.15,15.75,13.23,2.84,0.15,8.49,1.51,0.06,4.7,2.67,PRI,POT,0.35
S-514,2333.77,3807.64,3991.18,0.15,0,0.6,0.25,0.56,25.65,20.59,28.9,5.69,0.72,5.46,0.83,0.01,0.01,2.57,SSF,POT,0.22
S-652,4035.13,3888.6,4452.37,0.51,0.02,1.76,0.16,1.2,29.48,2.64,32.44,12.86,0.61,12.06,3.94,0.01,0.03,2.54,SSF,POT,0.1
S-719,1824.18,3794.3,3964.94,0.13,0.01,1.22,0.05,0.93,30.41,4.08,15.04,15.36,0.58,6.51,1.62,0.01,0.01,2.61,SSF,POT,0.18
S-138,2913.68,4016.82,4345.95,0.02,0,1.21,0.41,0.46,27.83,18.81,22.88,2.25,0.51,5.86,1.7,0.03,2.36,2.66,PRI,POT,0.39
S-1225,3983.72,3927.86,4472.93,0.28,0.01,1.13,0.11,1.42,33.21,5.31,27.72,18.78,0.46,1.75,2.01,0.01,0.02,2.54,SSF,POT,0.18
S-751,1558.61,3614.46,3982.61,0.1,0.01,0.24,0.05,3.03,30.43,3.68,7.29,14.33,0.9,7.17,3.42,0.01,0.03,,SSF,POT,0.16
S-171,3568.23,3398.01,4305.93,0.05,0.02,0.64,0.06,2.23,61.53,9.91,15.04,7.88,1.03,0.2,0.22,0.01,0.22,2.67,SSF,POT,0.23
S-29,2238.97,4079.93,4142.77,0.39,0.05,0.31,0.02,1.27,27.34,10.61,16.49,3.8,1.06,6.34,1.96,0,0.02,2.62,SSF,POT,0.21
S-626,1907.47,3889.7,4108.52,0.8,0.02,0.83,0.08,1.14,28.39,5.62,16.86,15.07,0.73,7.19,1.69,0,0.01,2.57,SSF,POT,0.16
S-201,3087.25,3859.77,4252.31,0.39,0.05,0.84,0.47,0.02,37.6,12.09,36.65,0.88,0.71,3.16,0.24,0.01,0.26,2.53,SSF,POT,0.29
S-474,2747.03,3700.17,4046.68,0.15,0.05,1.82,0.49,0.27,33.35,10.57,39.17,6.38,1.22,4.48,0.28,0,0.01,2.56,SSF,POT,0.33
S-716,1835.24,3654.27,3889.38,0.15,0.01,1.19,0.25,0.68,26.5,9.31,19.6,11.56,1.09,5.38,1.32,0,0.01,2.55,SSF,POT,0.18
S-608,2830.5,3685.18,4085.36,0.25,0.01,1.36,0.72,0.17,26.75,14,35.09,6.05,0.89,6.86,1.19,0,0.01,2.56,SSF,POT,0.24
S-176,3472.25,3410.04,4236.91,0.02,0.01,1.23,0.18,0.61,36.5,6.61,21.73,10.22,0.24,4.44,2.41,0.01,0.08,2.59,SSF,POT,0.2
S-559,3750.29,3709.5,4446.46,0.37,0.01,1.24,0.07,1.24,30.54,6.22,25.88,12.34,0.11,7.23,2.38,0,0.02,2.55,SSF,POT,0.09
S-143,3220.66,3932.34,4308.58,0.27,0.03,0.52,0.2,0.01,25.08,13.34,30.19,1,0.72,9.15,0.96,0,0.11,2.56,SSF,POT,0.21
S-180,2921.24,3296.69,3562.71,0.01,0,0.34,0.24,0.03,23.27,15.08,9.36,1.05,0.1,11.29,1.18,0.06,3.73,2.64,PRI,POT,0.25
S-7,2090.74,4025.9,4198.12,0.97,0.09,0.49,0.04,0.82,29.5,11.08,23.36,5.93,1.58,4.41,2.13,0,0.01,2.57,SSF,POT,0.21
S-1029,3276.81,3252.97,4037.68,0.000896384,0,2.32,0.003350722,0.85,24.7,5.64,8.62,12.04,0.85,9.17,2.64,0.05,2.66,2.77,PRI,POT,0.32
S-553,2131.84,3902.16,3969.53,0.19,0.03,1.79,0.06,0.66,28.94,8.38,30.34,16.19,0.88,5.1,1.28,0.03,0.05,2.54,SSF,POT,0.21
S-730,1833.36,3924.18,4006.74,0.19,0.01,0.33,0.19,0.04,18.91,17.45,26.94,3.15,1.39,10.63,0.96,0.01,0.03,,SSF,POT,0.14
S-75,1609.17,3914.2,4102.82,0.37,0.01,0.61,0.05,1.01,38.59,6.67,19.18,3.78,1.49,4.75,1.46,0.01,0.02,2.53,SSF,POT,0.24
S-974,2899.83,3390.01,3792.85,0.020052193,0.01,0.43,1.033288314,0.01,25.49,23.78,10.36,5.11,0.39,6.95,1.1,0.02,4.02,2.68,PRI,POT,0.46
S-504,2112.51,3635.32,3879.97,0.02,0.01,1.11,0.35,0.16,22.88,18.58,37.83,2.98,0.48,5.48,0.45,0.02,6.51,2.67,PRI,POT,0.4
S-249,2214.8,3722.53,3985.63,0.23,0.03,1,0.7,0.01,28.09,8.96,50.44,1.22,0.2,6.25,0.76,0.02,0.04,2.58,SSF,POT,0.26
S-149,2784.98,3077.35,3587.34,0.01,0,1.53,0.29,0.01,29.84,15.5,10.68,2.41,0.07,8.55,2.02,0.02,4.25,2.7,PRI,POT,0.37
S-1250,2886.88,3315.34,3811.85,0.03,0,0.91,0.61,0.12,23.06,20.84,17.76,4.36,0.59,5.77,1.12,0.03,4.82,2.67,PRI,POT,0.45
S-245,3323.57,3849.04,4239.38,0.1,0.01,1.06,0.06,0.03,29.49,19.94,29.18,1.44,0.41,3.66,1.41,0.01,0.03,2.53,SSF,POT,0.33
S-230,2684.02,3356.58,3804.6,0.02,0,0.8,0.56,0.01,25.53,23.73,18.5,3.16,0.16,4.63,0.89,0.06,4.76,2.67,PRI,POT,0.43
S-223,3190.63,3947.16,4262.34,0.17,0.02,0.39,0.54,0.01,28.75,24.43,27.9,1.36,0.25,5.52,0.47,0.01,0.04,2.56,SSF,POT,0.3
S-741,3054.3,3877.28,4070.76,0.02,0.03,0.7,0.69,0.05,28.87,22.87,20.02,3.08,1.33,5.63,0.53,0.08,2.71,,PRI,POT,0.45
S-135,3413.06,3951.56,4161.39,0.02,0,0.87,0.4,0.04,25.54,19.33,27.84,1.02,0.15,6.49,0.93,0.15,2.76,2.67,PRI,POT,0.24
S-1291,3463.42,3679.72,4182.34,0.01,0,1.5,0.18,0.07,26.05,18.79,22.1,3.31,0.65,5.4,1.22,0.11,4.39,2.68,PRI,POT,0.45
S-963,1667.64,3877.33,4011.16,0.099271993,0.02,1.21,0.034148922,0.72,29.53,4.8,16.19,15.14,0.88,6.13,1.36,0.01,0.05,2.62,SSF,POT,0.23
S-1268,3933.81,3969.08,4271.74,0.33,0.03,0.77,0.09,1.29,36.08,6.04,20.6,19.65,0.6,1.9,2.16,0,0.06,2.57,SSF,POT,0.23
S-445,1637.51,3880.82,4054.17,0.48,0.04,0.77,0.04,0.62,28.66,6.75,11.67,8.1,0.5,7.12,2.08,0.01,0.04,2.65,SSF,POT,0.18
S-192,3589.81,3634.57,4385.34,0.86,0.22,0.8,0.23,0.14,34.81,8.9,25.45,15.8,0.82,4.04,2.04,0.01,0.03,2.54,SSF,POT,0.29
S-42,1846.89,3882.64,4130.63,0.53,0.03,0.21,0.03,1.25,30.07,5.98,21.05,6.9,1,6.55,1.85,0.01,0.05,2.63,SSF,POT,0.24
S-978,2652.1,3458.86,3793.57,0.011059431,0.01,0.48,0.53853722,0.01,25.8,14.96,16.41,2.26,0.5,8.31,1.26,0.07,2.64,2.66,PRI,POT,0.39
S-110,3562.53,3416.38,4359,0.16,0.03,0.68,0.15,1.76,72.81,4.13,5.23,13.71,0.39,0.12,0.05,0.01,0.05,2.62,SSF,POT,0.21
S-660,3164.61,3385.01,3940.43,0.01,0.01,1.77,0.28,0.12,25.75,11.46,21.09,8.47,0.8,4.26,1.95,0.08,3.32,2.69,PRI,POT,0.28
S-58,3488.67,3428.52,4351.8,0.13,0.04,1.97,0.13,3.9,62.31,7.99,10.8,9.72,1.05,0.16,0.69,0,0.02,2.63,SSF,POT,0.28
S-1057,1875.26,3713.01,3872.64,0.001534892,0,1.94,0.00417762,1.17,33.12,3.87,15.1,17.76,0.64,4.72,1.3,0.19,4.48,2.75,PRI,POT,0.37
S-1000,2776.91,3564.73,3735.06,0.005742134,0,0.88,0.307270007,0.01,24.64,20.03,26.2,1.73,0.38,4.34,0.7,0.06,3.4,2.61,PRI,POT,0.44
S-628,2209.01,3802.93,4022.27,0.21,0.01,0.62,0.16,0.21,24.57,27.61,31.18,6.64,0.6,6.21,0.82,0.02,0.01,2.52,SSF,POT,0.15
S-1164,3455.64,3196.6,4232.19,0.001196993,0,0.93,0.000852388,3.34,24.23,3.26,15.67,9.15,1.88,9.1,3.68,0.02,0.07,2.69,SSD,CLO-SER,0.15
S-458,3029.53,3804.9,4052.02,0.03,0,0.43,0.46,0.63,26.82,16.41,20.64,2.23,0.42,4.48,0.78,0.06,3.29,2.69,PRI,POT,0.4
S-25,2334.54,4064.53,4237.5,0.65,0.08,0.18,0.02,3.06,21.2,8.24,15.52,3.3,1.26,9.71,2.71,0,0.02,2.69,SSF,POT,0.26
S-508,3219.27,3350,3961.09,0.02,0.01,1.73,0.29,0.02,24.29,14.47,17.5,7.26,0.46,5.39,0.97,0.05,4.66,2.69,PRI,POT,0.36
S-536,2883.73,3750.78,4011.89,0.04,0,0.9,0.4,0.34,39.74,14.78,21.23,3.64,0.67,3.57,0.9,0.08,2.49,2.7,PRI,POT,0.43
S-590,4083.67,3968.25,4505.05,0.74,0.03,1.27,0.04,1.39,28.11,6.83,36.9,13.48,0.21,4.75,1.69,0.01,0.03,2.56,SSF,POT,0.15
S-1003,3021.63,3463.78,3760.84,0.002609524,0,0.67,0.081854662,0.01,41.19,39.36,11.85,2.15,0.3,1.04,0.27,0.01,0.27,2.55,PRI,POT,0.41
S-985,2738.2,3401.26,3681.22,0.014891793,0.01,0.57,0.880403202,0.01,24.25,25.93,16.12,2.65,0.28,9.14,0.67,0.04,6.54,2.66,PRI,POT,0.46
S-1236,2708.77,3409.14,3848.67,0.04,0,0.8,0.66,0.01,26.38,16.24,17.56,3.47,0.16,4.83,0.64,0.05,2.71,2.64,PRI,POT,0.41
S-354,2451.75,4039.57,4153.36,0.4,0.02,0.33,0.06,0.18,19.4,19.81,37.69,3.6,0.4,10.1,0.8,0,0.02,2.55,SSF,POT,0.26
S-52,2776.39,3963.51,4226.88,0.14,0.02,1.65,0.43,0.55,24.89,19.37,31.05,2.84,1.36,4.64,1.95,0.14,2.18,2.67,PRI,POT,0.42
S-406,3009.02,3106.58,4005.98,0,0,3.15,0.01,0.52,36.55,6.02,14.28,21.06,0.51,4.29,1.09,0.08,0.84,2.66,PRI,CLO-SER,0.21
S-581,4082.7,3775.48,4476.41,0.03,0,0.92,0.62,0.91,23.38,14.33,35.49,2.03,0.2,7.8,0.62,0.03,3.47,2.58,SSF,POT,0.13
S-1228,2633.31,3395.1,3845.6,0.02,0,0.89,0.39,0.24,26.91,16.99,17.93,2.79,0.13,5.71,0.89,0.05,2.46,2.66,PRI,POT,0.36
S-1167,3468.47,3185.95,4199.72,0.007467727,0,0.86,0.011028883,4.05,22.62,5.17,7.84,8.38,1.02,5.9,2.99,0.02,0.09,2.72,SSD,CLO-SER,0.27
S-1234,2633.49,3420.39,3867.05,0.01,0,0.7,0.69,0.01,33.19,17.21,17.96,2.65,0.33,4.46,0.57,0.14,2.83,2.64,PRI,POT,0.42
S-277,3634.6,3743.13,4375.69,0.2,0.1,1.59,0.13,0.43,33.19,11.9,29.52,13.41,0.83,2.59,1.54,0.01,0.03,2.55,SSF,POT,0.25
S-1095,1835.89,4306.19,4289.98,0.704190257,0.08,1.02,0.371033566,0.03,40.23,18.57,19.31,4.4,2.94,3.63,0.44,0.01,0.05,2.56,SSF,POT,0.25
S-1002,3021.42,3450.11,3793.06,0.022848088,0.01,1.32,0.300278372,0.04,18.42,24.62,13.6,5.88,0.86,4.74,1.63,0.05,2.21,2.67,PRI,POT,0.39
S-1148,2588.28,3683.19,3794.94,0.010726484,0,0.46,0.645286385,0.01,27.76,19.42,15.36,2.62,0.36,7.38,0.78,0.08,4.12,2.67,PRI,POT,0.49
S-467,3276.81,3236.86,4152.3,0.12,0.01,0.99,0.02,6.36,28.95,6.21,11.33,20.29,2.86,5.38,1.22,0,0.06,2.74,SSD,POT,0.13
S-418,3062.92,3832.44,4142.76,0.03,0,0.56,0.65,0.15,23.57,17.71,27.3,1.95,0.56,5.01,0.84,0.08,2.12,2.68,SSD,POT,0.42
S-575,4013.21,3757.43,4454.69,0.54,0.07,0.67,0.07,2.46,32.48,4.77,30.1,18.58,0.59,0.86,4.35,0.02,0.04,2.55,SSF,POT,0.13
S-183,2784.08,3242.91,3846.98,0.04,0.01,0.96,1.32,0.01,27.49,31.27,17.22,1.98,0.14,5.53,1.02,0.1,6.69,2.64,PRI,POT,0.47
S-19,2236.16,4045.89,4192.32,0.69,0.05,0.39,0.03,0.63,28.7,10.36,18.54,5,1.17,7.36,1.96,0.01,0.13,2.59,SSF,POT,0.32
S-1007,3295.77,3420.5,4062.25,0.000826925,0,2.03,0.048298639,0.05,28.73,11.39,12.89,15.58,0.42,4.28,1.61,0.09,4.47,2.7,PRI,POT,0.42
S-556,2777.28,3493.45,3914.14,0.01,0,0.77,0.65,0.04,22.44,15.6,22.56,2.75,0.17,7.25,0.88,0.03,3.96,2.67,PRI,POT,0.32
S-682,2588.17,3694.6,3917.38,0,0,1.04,0.03,1.58,31.01,9.5,36.27,8.55,0.71,4.63,0.74,0.18,0.35,2.69,PRI,POT,0.27
S-524,2360.66,3823.49,4007.87,0.37,0.07,1,1.06,0.11,20.95,16.18,45.68,4.73,0.7,5.66,0.8,0.16,0.02,2.53,SSF,POT,0.27
S-388,3333.15,3545.25,4191.85,0.06,0.01,1.67,0.08,0.32,29.99,15.57,24.7,8.94,0.69,2.77,1.58,0.02,0.09,2.55,SSF,POT,0.33
S-85,1771.57,3873.83,4127.29,0.84,0.04,0.28,0.14,1.51,31.16,6.44,21.97,6.59,1.19,6.79,1.97,0.01,0.02,2.57,SSF,POT,0.21
S-63,3708.34,3915.38,4396.05,0.29,0.05,1.19,0.13,1.05,31.97,9.87,33.96,5.97,0.88,4.08,2.15,0.01,0.29,2.57,SSF,POT,0.19
S-983,2738.41,3376.14,3754.54,0.007990386,0,0.55,0.235191724,0.01,30.08,22.52,12.1,1.89,0.22,8.28,0.7,0.07,3.11,2.65,PRI,POT,0.44
S-286,4027.81,3362.67,4658.81,0.13,0.13,1.04,0,5,38.23,1.52,14.13,24.02,0.64,1.46,5.54,0.01,0.07,2.61,SSD,AR,0.15
S-299,2620.22,3287.32,3813.93,0.03,0,1.01,0.7,0.01,25.64,18.53,17.94,3.09,0.32,6.66,0.75,0.13,3.21,2.66,PRI,POT,0.39
S-379,2684.33,3974.5,4203.11,0.25,0.02,1,0.05,1.07,28.41,17.56,20.06,6.14,1.22,3.67,1.09,0.02,0.11,2.59,SSF,POT,0.38
