Sample,midx,midy,midz,East,North,elevation,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Enargite,Sphalerite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,lithology,minzone,alteration,Ai
S-571,2112.51,3635.32,3879.97,2112.51,3635.32,3879.97,0.02,0.01,1.11,0.35,0.16,0,0.01,22.88,18.58,37.83,2.98,0.48,5.48,0.45,0.02,6.51,2.67,porphyry,PRI,POT,0.4
S-572,3219.27,3350,3961.09,3219.27,3350,3961.09,0.02,0.01,1.73,0.29,0.02,0,0.01,24.29,14.47,17.5,7.26,0.46,5.39,0.97,0.05,4.66,2.69,porphyry,PRI,POT,0.36
S-573,3295.45,3438.43,3998.99,3295.45,3438.43,3998.99,0,0,1.91,0.02,0.11,0,0.01,25.25,12.12,21.39,10.6,0.68,4.17,1.52,0.03,5.82,2.76,porphyry,PRI,POT,0.31
S-574,3033.97,3505.47,3950.7,3033.97,3505.47,3950.7,0.16,0.02,0.93,0.08,0.47,0,0.01,24.75,14.27,25.39,7.64,0.77,6.08,1.96,0.03,1.01,2.68,porphyry,PRI,POT,0.41
S-575,2526.29,3512.34,3926.93,2526.29,3512.34,3926.93,0.01,0,0.84,0.31,0.07,0,0.01,26.55,18.06,24.64,2.47,0.47,7.28,0.48,0.05,5.12,2.67,porphyry,PRI,POT,0.37
S-576,3305.59,3724.14,4029.72,3305.59,3724.14,4029.72,0.06,0,0.33,0.88,0.06,0,0.01,29.69,22.23,20.6,1.43,0.63,4.89,0.76,0.04,3.15,2.65,porphyry,PRI,POT,0.41
S-577,3341.27,3656.76,4088.45,3341.27,3656.76,4088.45,0.03,0,0.82,0.54,0.12,0,0.01,30.59,18.99,20.21,3.45,0.83,5.09,0.77,0.07,3.31,2.67,porphyry,PRI,POT,0.41
S-578,3343.05,3724.24,4088.6,3343.05,3724.24,4088.6,0.02,0,0.69,0.62,0.01,0,0.01,28.48,22.59,24.9,1.64,0.29,3.39,0.67,0.07,2.51,2.65,porphyry,PRI,POT,0.44
S-579,3342.27,3731.26,4059.44,3342.27,3731.26,4059.44,0.06,0,0.77,0.6,0.02,0,0.01,30.67,22.21,27.23,1.43,0.46,3.84,0.61,0.09,2.74,2.62,porphyry,PRI,POT,0.45
S-580,3392.75,3811.4,4089.73,3392.75,3811.4,4089.73,0.02,0,0.88,0.34,0.06,0,0.01,29.56,17.97,25.03,2.04,0.36,5.27,0.66,0.11,3.18,2.66,porphyry,PRI,POT,0.48
