Sample,midx,midy,midz,East,North,elevation,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Enargite,Sphalerite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,lithology,minzone,alteration,Ai
S-657,3251.17,3806.59,4129.48,3251.17,3806.59,4129.48,0.01,0,0.44,0.65,0.01,0,0.01,29.68,15.99,17.39,1.98,0.4,10.86,1.54,0.13,3.21,,porphyry,PRI,POT,0.48
S-658,3252.84,3914.73,4178.03,3252.84,3914.73,4178.03,0.01,0,0.3,0.78,0.08,0,0.01,29.56,16.12,21.34,1.7,0.34,11.17,0.7,0.09,4.35,,porphyry,PRI,POT,0.51
S-659,2962.95,3375.54,3747.9,2962.95,3375.54,3747.9,0.07,0.01,0.53,1.04,0.03,0,0.01,27.91,16.55,10.1,3.18,0.85,10.39,1.01,0.2,2.54,,porphyry,PRI,POT,0.4
S-660,1667.76,3856.74,3958,1667.76,3856.74,3958,0.000628601,0,0.86,0.003269078,0.47,0,0.01,25.44,7.31,13.36,8.33,0.34,7.96,1.48,0.15,2.84,2.72,porphyry,PRI,POT,0.37
S-661,3029.52,3806.78,4059.54,3029.52,3806.78,4059.54,0.034379566,0,0.95,0.244022391,0.12,0,0.01,28.48,17.68,20.81,2.63,0.35,5.1,0.9,0.1,2.03,2.66,porphyry,PRI,POT,0.47
S-662,3029.61,3799.28,4029.46,3029.61,3799.28,4029.46,0.052066246,0,1,0.579934954,0.01,0,0.01,24.17,21.09,16.94,2.4,0.38,6.03,0.75,0.07,2.27,2.67,porphyry,PRI,POT,0.42
S-663,3029.78,3791.8,3999.37,3029.78,3791.8,3999.37,0.023103699,0,0.9,0.862760872,0.15,0,0.01,30.28,19.24,12.79,3.77,0.87,6.89,1.29,0.04,3.01,2.69,porphyry,PRI,POT,0.52
S-664,3029.78,3791.8,3999.37,3029.78,3791.8,3999.37,0.023103699,0,0.9,0.862760872,0.15,0,0.01,30.28,19.24,12.79,3.77,0.87,6.89,1.29,0.04,3.01,2.69,porphyry,PRI,POT,0.52
S-665,3029.99,3784.33,3969.29,3029.99,3784.33,3969.29,0.062083798,0,0.62,0.799461764,0.01,0,0.01,29.6,21.06,15.21,2.62,0.45,6.99,1.1,0.04,3.11,2.66,porphyry,PRI,POT,0.47
S-666,3030.25,3776.94,3939.18,3030.25,3776.94,3939.18,0.02407191,0.01,0.66,0.673766684,0.01,0,0.01,28.98,20.51,14.68,2.16,0.49,7.65,1.31,0.08,3.18,2.66,porphyry,PRI,POT,0.54
S-667,3030.57,3769.7,3909.04,3030.57,3769.7,3909.04,0.023544055,0.01,0.26,0.718410804,0.01,0,0.01,28.43,20.61,12.99,1.4,0.31,7.78,1.03,0.05,4.06,2.65,porphyry,PRI,POT,0.46
S-668,2899.83,3390.01,3792.85,2899.83,3390.01,3792.85,0.020052193,0.01,0.43,1.033288314,0.01,0,0.01,25.49,23.78,10.36,5.11,0.39,6.95,1.1,0.02,4.02,2.68,porphyry,PRI,POT,0.46
S-669,2900.21,3402.66,3754.91,2900.21,3402.66,3754.91,0.013718922,0,0.53,0.599812256,0.01,0,0.01,24.47,17.33,10.23,4.71,0.52,8.57,1.21,0.17,4.74,2.68,porphyry,PRI,POT,0.44
S-670,2900.92,3426.52,3683.28,2900.92,3426.52,3683.28,0.017382706,0,0.24,0.605187353,0.01,0,0.01,28.24,17.81,8.63,1.7,0.28,9.15,0.98,0.12,3.54,2.68,porphyry,PRI,POT,0.45
S-671,2652.1,3458.86,3793.57,2652.1,3458.86,3793.57,0.011059431,0.01,0.48,0.53853722,0.01,0,0.01,25.8,14.96,16.41,2.26,0.5,8.31,1.26,0.07,2.64,2.66,porphyry,PRI,POT,0.39
S-672,2653.06,3442.04,3742.26,2653.06,3442.04,3742.26,0.015098078,0.01,0.6,0.542110356,0.01,0,0.01,24.04,21.24,18.92,2.7,0.57,8.13,0.58,0.21,4.29,2.67,porphyry,PRI,POT,0.46
S-673,2653.23,3439.4,3734.18,2653.23,3439.4,3734.18,0.01601704,0.01,0.46,0.479632371,0.01,0,0.01,24.98,16.44,17.5,1.87,0.56,8.05,1.37,0.09,3.81,2.68,porphyry,PRI,POT,0.41
S-674,2654.41,3422.22,3680.9,2654.41,3422.22,3680.9,0.01215144,0.01,0.36,0.622524936,0.01,0,0.01,28.49,20.68,15.31,1.39,0.33,8.18,0.95,0.08,3.33,2.66,porphyry,PRI,POT,0.43
S-675,2738.41,3376.14,3754.54,2738.41,3376.14,3754.54,0.007990386,0,0.55,0.235191724,0.01,0,0.01,30.08,22.52,12.1,1.89,0.22,8.28,0.7,0.07,3.11,2.65,porphyry,PRI,POT,0.44
S-676,2738.39,3388.3,3719.07,2738.39,3388.3,3719.07,0.004790424,0.01,0.28,0.812847796,0.01,0,0.01,25.01,25.15,16.15,1.46,0.17,9.44,0.44,0.07,5.55,2.67,porphyry,PRI,POT,0.46
S-677,2738.2,3401.26,3681.22,2738.2,3401.26,3681.22,0.014891793,0.01,0.57,0.880403202,0.01,0,0.01,24.25,25.93,16.12,2.65,0.28,9.14,0.67,0.04,6.54,2.66,porphyry,PRI,POT,0.46
S-678,2307.55,3889.86,3945.24,2307.55,3889.86,3945.24,0.090864715,0.06,1.68,2.956640368,0.54,0,0.01,24.33,26.68,22.89,6.8,0.73,4.18,0.67,0.04,4.7,2.67,porphyry,PRI,POT,0.45
S-679,2307.58,3887.85,3940.12,2307.58,3887.85,3940.12,0.048535544,0.03,1.47,1.509871944,0.47,0,0.01,24.58,23.27,19.52,8.66,0.81,5.69,0.88,0.04,8.12,2.68,porphyry,PRI,POT,0.38
S-680,2307.61,3885.86,3934.99,2307.61,3885.86,3934.99,0.032738668,0.02,0.81,0.77838404,0.21,0,0.01,22.3,17.65,27.85,4.38,0.68,8.96,0.86,0.07,5.48,2.68,porphyry,PRI,POT,0.43
S-681,2307.67,3881.87,3924.74,2307.67,3881.87,3924.74,0.013677178,0.01,1.39,0.532747688,0.91,0,0.01,32.21,18.52,22.14,6.1,0.56,5.21,0.94,0.06,5.13,2.68,porphyry,PRI,POT,0.43
S-682,2307.69,3880.6,3921.48,2307.69,3880.6,3921.48,0.026654303,0.01,0.98,0.392344732,0.04,0,0.01,23.93,22.6,22.76,5.69,0.59,6.67,0.96,0.06,7.64,2.64,porphyry,PRI,POT,0.41
S-683,2307.73,3878.62,3916.35,2307.73,3878.62,3916.35,0.012088093,0,0.74,0.316970637,0.54,0,0.01,25.68,21.47,20.63,6.47,0.58,5.93,0.7,0.05,12.44,2.65,porphyry,PRI,POT,0.39
S-684,2307.76,3876.63,3911.22,2307.76,3876.63,3911.22,0.01199722,0,1.39,0.565417879,0.34,0,0.01,32.64,22.21,21.27,5.84,0.44,6.16,0.72,0.05,4.09,2.67,porphyry,PRI,POT,0.42
S-685,2307.8,3874.65,3906.09,2307.8,3874.65,3906.09,0.013969387,0,0.8,0.360468951,0.05,0,0.01,27.2,24.74,14.21,3.84,0.39,8.33,0.62,0.08,4.35,2.67,porphyry,PRI,POT,0.43
S-686,2307.83,3872.66,3900.96,2307.83,3872.66,3900.96,0.008781189,0.01,0.87,0.32326284,0.16,0,0.01,24.78,21.16,17.3,4.85,0.45,7.26,0.77,0.16,5.54,2.67,porphyry,PRI,POT,0.43
S-687,2307.87,3870.68,3895.83,2307.87,3870.68,3895.83,0.024553543,0,0.9,0.48787119,0.37,0,0.01,26.15,20.62,16.11,7.78,0.63,7.39,0.94,0.12,5.68,2.68,porphyry,PRI,POT,0.41
S-688,2777.14,3541.24,3792.44,2777.14,3541.24,3792.44,0.032953841,0.02,0.37,0.549213182,0.01,0,0.01,27.62,19.22,10.31,1.27,0.58,6.73,0.75,0.17,3.13,2.67,porphyry,PRI,POT,0.48
S-689,2777.14,3541.24,3792.44,2777.14,3541.24,3792.44,0.032953841,0.02,0.37,0.549213182,0.01,0,0.01,27.62,19.22,10.31,1.27,0.58,6.73,0.75,0.17,3.13,2.66,porphyry,PRI,POT,0.47
S-690,2777.04,3552.87,3763.71,2777.04,3552.87,3763.71,0.029309496,0.01,0.25,0.794701713,0.01,0,0.01,22.97,16.42,9.84,1.78,0.73,9.49,0.35,0.05,2.83,2.63,porphyry,PRI,POT,0.41
S-691,2776.91,3564.73,3735.06,2776.91,3564.73,3735.06,0.005742134,0,0.88,0.307270007,0.01,0,0.01,24.64,20.03,26.2,1.73,0.38,4.34,0.7,0.06,3.4,2.61,porphyry,PRI,POT,0.44
S-692,2776.74,3576.54,3706.94,2776.74,3576.54,3706.94,0.01089226,0.01,0.58,0.423058337,1.22,0,0.01,22.96,18.27,24.34,2.21,0.46,4.43,0.7,0.04,1.85,2.61,porphyry,PRI,POT,0.47
S-693,3021.42,3450.11,3793.06,3021.42,3450.11,3793.06,0.022848088,0.01,1.32,0.300278372,0.04,0,0.01,18.42,24.62,13.6,5.88,0.86,4.74,1.63,0.05,2.21,2.67,porphyry,PRI,POT,0.39
S-694,3021.63,3463.78,3760.84,3021.63,3463.78,3760.84,0.002609524,0,0.67,0.081854662,0.01,0,0.01,41.19,39.36,11.85,2.15,0.3,1.04,0.27,0.01,0.27,2.55,porphyry,PRI,POT,0.41
S-695,3021.63,3477.33,3728.56,3021.63,3477.33,3728.56,0.01901539,0.01,0.73,0.320128792,0.02,0,0.01,25.15,21.4,16.89,2.94,1.11,6.86,1.44,0.17,2.25,2.66,porphyry,PRI,POT,0.42
S-696,3021.6,3490.97,3695.79,3021.6,3490.97,3695.79,0.111597532,0.01,0.99,0.342199497,0.01,0,0.01,11.89,23.63,19.39,5.19,1.32,8.42,1.45,0.2,2.13,2.7,porphyry,PRI,POT,0.38
S-697,3295.88,3411.95,4092.05,3295.88,3411.95,4092.05,0.016925089,0,1.89,0.002797198,0.57,0,0.01,30.6,8.66,15.78,16.58,1.23,4.01,1.9,0.13,4.74,2.7,porphyry,PRI,POT,0.38
S-698,3295.63,3428.97,4032.43,3295.63,3428.97,4032.43,0.008049004,0,1.37,0.044870087,0.19,0,0.01,33.83,13.12,10.45,9.23,0.39,4.38,0.92,0.06,4.58,2.68,porphyry,PRI,POT,0.38
S-699,3295.47,3437.41,4002.6,3295.47,3437.41,4002.6,0.004972662,0,1.35,0.019941772,0.01,0,0.01,28.5,11.12,22.1,7.96,0.38,4.3,1.6,0.09,4.07,2.66,porphyry,PRI,POT,0.38
S-700,3295.3,3445.81,3972.76,3295.3,3445.81,3972.76,0.008326504,0.01,1.83,0.182910959,0.05,0,0.01,26.27,14.16,14.17,9.15,0.8,4.82,2.7,0.06,5.37,2.7,porphyry,PRI,POT,0.4
S-701,3295.3,3445.81,3972.76,3295.3,3445.81,3972.76,0.008326504,0.01,1.83,0.182910959,0.05,0,0.01,26.27,14.16,14.17,9.15,0.8,4.82,2.7,0.06,5.37,2.7,porphyry,PRI,POT,0.4
S-702,3295.09,3454.31,3942.43,3295.09,3454.31,3942.43,0.002427598,0,0.91,0.009913693,0.02,0,0.01,27.61,19.74,13.5,5.4,0.37,3.75,1.79,0.1,4.3,2.67,porphyry,PRI,POT,0.45
S-703,3276.81,3246.77,4081.74,3276.81,3246.77,4081.74,0,0,1.76,0.000394774,1.7,0,0.01,18.77,1.45,9.58,10.41,0.87,14.78,3.24,0.06,3.89,2.82,porphyry,PRI,POT,0.23
S-704,3276.81,3249.9,4059.46,3276.81,3249.9,4059.46,0.000238421,0,1.27,0.001239789,3.43,0,0.01,16.16,4.06,16.57,11.9,0.87,14.12,2.18,0.03,3.17,2.79,porphyry,PRI,POT,0.27
S-705,3276.81,3252.97,4037.68,3276.81,3252.97,4037.68,0.000896384,0,2.32,0.003350722,0.85,0,0.01,24.7,5.64,8.62,12.04,0.85,9.17,2.64,0.05,2.66,2.77,porphyry,PRI,POT,0.32
S-706,3276.81,3254.36,4027.77,3276.81,3254.36,4027.77,0.008929999,0,1.3,0.04413252,0.13,0,0.01,20.08,9.52,17.38,3.94,1.28,16.91,4.43,0.67,5.41,2.78,porphyry,PRI,POT,0.22
S-707,3276.81,3254.36,4027.77,3276.81,3254.36,4027.77,0.008929999,0,1.3,0.04413252,0.13,0,0.01,20.08,9.52,17.38,3.94,1.28,16.91,4.43,0.67,5.41,2.79,porphyry,PRI,POT,0.21
S-708,3814.84,3789.2,4201.69,3814.84,3789.2,4201.69,0.003756901,0,2.09,0.005305349,0.92,0,0.01,32.56,9.61,29.45,10.4,0.64,4.03,0.91,0.12,4.07,2.68,porphyry,PRI,POT,0.47
S-709,3814.61,3778.09,4172.22,3814.61,3778.09,4172.22,0.002449783,0,1.45,0.071370557,0.64,0,0.01,33.28,11.01,23.01,10.23,0.34,3.37,1.57,0.09,4.3,2.68,porphyry,PRI,POT,0.46
S-710,3814.39,3767.07,4142.71,3814.39,3767.07,4142.71,0.016463803,0.01,1.53,0.545445911,0.1,0,0.01,24.3,14.61,25.21,2.45,0.31,6.43,1.12,0.08,3.58,2.68,porphyry,PRI,POT,0.42
S-711,3814.29,3756.13,4113.17,3814.29,3756.13,4113.17,0.015580717,0,1.22,0.235184004,0.31,0,0.01,17.3,5.34,4.5,3.14,0.32,12.79,1.93,0.15,4.07,2.78,porphyry,PRI,POT,0.38
S-712,1875.19,3718.69,3888.67,1875.19,3718.69,3888.67,0.055165716,0.01,1.53,0.021304087,0.46,0,0.01,26.56,6.74,17.19,13.13,0.57,7.47,1.75,0.02,0.51,2.65,porphyry,PRI,POT,0.33
S-713,1875.26,3713.01,3872.64,1875.26,3713.01,3872.64,0.001534892,0,1.94,0.00417762,1.17,0,0.01,33.12,3.87,15.1,17.76,0.64,4.72,1.3,0.19,4.48,2.75,porphyry,PRI,POT,0.37
S-714,1875.26,3695.04,3821.72,1875.26,3695.04,3821.72,0.003376073,0,1.82,0.003763508,0.14,0,0.01,28.49,6.57,14.86,11.73,0.44,6.17,1.04,0.04,3.06,2.71,porphyry,PRI,POT,0.38
S-715,2430.14,3980.51,3975.64,2430.14,3980.51,3975.64,0.016374641,0,1.8,0.822640388,0.71,0,0.01,19.68,20.59,27.08,6.82,0.54,7.36,0.87,0.04,7.08,2.68,porphyry,PRI,POT,0.4
S-716,2429.95,3973.71,3938.26,2429.95,3973.71,3938.26,0.008592283,0,1.38,0.615382753,0.61,0,0.01,24.43,27.42,24.45,4.03,0.5,3.73,0.56,0.14,8.39,2.66,porphyry,PRI,POT,0.5
S-717,3185.37,4120.48,4275.55,3185.37,4120.48,4275.55,0.007510179,0,1,0.16410729,0.02,0,0.01,26.27,17.1,24.34,1.45,0.38,5.7,1.57,0.07,4.51,2.64,porphyry,PRI,POT,0.47
S-718,3186.66,4098.48,4242.17,3186.66,4098.48,4242.17,0.025038693,0.01,0.65,0.830114892,0.02,0,0.01,28.63,20.3,14.96,1.46,0.63,5.93,0.55,0.03,3.25,2.67,porphyry,PRI,POT,0.48
S-719,3188.21,4075.32,4207.16,3188.21,4075.32,4207.16,0.017759403,0,0.65,0.348902302,0.2,0,0.01,29.81,16.19,16.19,1.78,0.51,5.41,0.9,0.12,3.87,2.67,porphyry,PRI,POT,0.5
S-720,1681.88,4214.65,4131.94,1681.88,4214.65,4131.94,0.01326328,0.01,1.03,0.60951139,0.17,0,0.01,22.97,15.94,21.92,4.25,0.8,7.8,1.6,0.18,5.1,2.66,porphyry,PRI,POT,0.47
S-721,1682.18,4224.61,4093.2,1682.18,4224.61,4093.2,0.011615445,0,0.51,0.295306379,0.02,0,0.01,19.06,13.81,24.96,1.58,0.45,10.3,1.02,0.04,4.77,2.69,porphyry,PRI,POT,0.37
S-722,3474.51,4208.14,4380.48,3474.51,4208.14,4380.48,0.005041242,0,0.97,0.031690321,0.93,0,0.01,23.76,8.77,22.35,5.21,0.42,6.5,1.29,0.03,2.68,2.7,porphyry,PRI,POT,0.44
S-723,3474.54,4206.83,4377.24,3474.54,4206.83,4377.24,0.024541503,0.01,1.11,0.026846235,0.87,0,0.01,30.52,12.31,22.53,6.04,0.84,4.89,0.98,0.01,3.69,2.7,porphyry,PRI,POT,0.45
S-724,3475.05,4188.13,4330.87,3475.05,4188.13,4330.87,0.097170528,0.01,2.4,0.052819601,4.1,0,0.01,23.45,9.51,25.03,7.16,0.62,6.8,1.97,0.08,2.85,2.69,porphyry,PRI,POT,0.46
S-725,3475.79,4169.44,4283.96,3475.79,4169.44,4283.96,0.006972682,0,1.06,0.150195603,0.21,0,0.01,23.87,13.32,17.83,4.24,0.62,5.29,1.34,0.05,4.97,2.69,porphyry,PRI,POT,0.48
S-726,2736.02,4066.34,4186.54,2736.02,4066.34,4186.54,0.007297078,0,0.74,0.075453324,1.17,0,0.01,25.77,13.59,22.13,2.52,0.81,5.06,1.05,0.16,2.03,2.68,porphyry,PRI,POT,0.42
S-727,2588.26,3690.15,3870.62,2588.26,3690.15,3870.62,0.015144739,0,1.99,0.702108173,0.02,0,0.01,25.32,21.15,21.13,3.33,0.53,6.64,0.72,0.08,3.2,2.66,porphyry,PRI,POT,0.43
S-728,2588.28,3683.19,3794.94,2588.28,3683.19,3794.94,0.010726484,0,0.46,0.645286385,0.01,0,0.01,27.76,19.42,15.36,2.62,0.36,7.38,0.78,0.08,4.12,2.67,porphyry,PRI,POT,0.49
S-729,2747.21,3680.17,3885.67,2747.21,3680.17,3885.67,0.012203284,0,0.72,0.616836746,0.05,0,0.01,24.18,19.06,21.18,1.85,0.44,8.36,0.84,0.35,3.91,2.66,porphyry,PRI,POT,0.43
S-730,3229.36,3336.6,4000.14,3229.36,3336.6,4000.14,0.000632353,0,1.75,0.017914341,0.02,0,0.01,29.8,12.66,16.4,11.04,0.19,4.09,1.14,0.04,4.69,2.7,porphyry,PRI,POT,0.31
S-731,3220.82,3347.96,3967.06,3220.82,3347.96,3967.06,0.002049274,0,1.02,0.246817425,0.01,0,0.01,24.15,14.36,16.77,8.42,0.21,5.92,1.57,0.07,5.56,2.68,porphyry,PRI,POT,0.35
S-732,3212.64,3358.69,3935.85,3212.64,3358.69,3935.85,0.001589108,0,1.32,0.102235848,0,0,0.01,25.74,12.12,15.74,7.92,0.16,5.69,1.51,0.07,4.57,2.67,porphyry,PRI,POT,0.37
S-733,3203.69,3370.06,3902.89,3203.69,3370.06,3902.89,0.000996191,0,1.28,0.017120912,0.03,0,0.01,25.14,9.86,14.09,9.31,0.24,5.48,1.68,0.07,4.29,2.7,porphyry,PRI,POT,0.33
S-734,3194.42,3381.41,3870.01,3194.42,3381.41,3870.01,0.005572961,0,0.98,0.184162674,0.19,0,0.01,28.79,8.97,7.67,8.21,0.48,7.22,1.89,0.18,4.04,2.7,porphyry,PRI,POT,0.41
S-735,3184.94,3392.71,3837.17,3184.94,3392.71,3837.17,0.001329494,0,1.13,0.024301873,0.02,0,0.01,24.33,19.01,20.47,6.51,0.23,4.3,2.41,0.07,2.41,2.69,porphyry,PRI,POT,0.44
S-736,3939.1,3704.94,4089.27,3939.1,3704.94,4089.27,0.003511338,0,1.51,0.004383722,0.91,0,0.01,27.23,5.6,18.4,10.98,0.44,8.71,1.3,0.08,5.12,2.73,porphyry,PRI,POT,0.47
S-737,2837.81,3431.43,3866.55,2837.81,3431.43,3866.55,0.01,0,0.46,0.94,0.01,0,0.01,26.93,21.68,17.15,4.16,0.43,5.69,0.6,0.04,4.15,2.63,porphyry,PRI,POT,0.4
S-738,2633.31,3395.1,3845.6,2633.31,3395.1,3845.6,0.02,0,0.89,0.39,0.24,0,0.01,26.91,16.99,17.93,2.79,0.13,5.71,0.89,0.05,2.46,2.66,porphyry,PRI,POT,0.36
S-739,2234,3365.12,3857,2234,3365.12,3857,0,0,1.53,0.25,0.14,0,0.01,27.83,21.56,25.05,4.99,0.3,4.08,0.72,0.08,3.69,2.65,porphyry,PRI,POT,0.42
S-740,2934.03,3369.67,3857.56,2934.03,3369.67,3857.56,0.03,0,1.46,0.73,0.03,0,0.01,27.11,19.81,14.84,14.74,0.62,2.91,1.08,0.06,4.75,2.68,porphyry,PRI,POT,0.39
S-741,2651.51,3475.63,3844.16,2651.51,3475.63,3844.16,0.04,0,0.45,0.39,0.02,0,0.01,30.99,17.12,18.37,1.71,0.1,5.98,0.64,0.08,3.27,2.66,porphyry,PRI,POT,0.39
S-742,2860.03,3385.01,3848.2,2860.03,3385.01,3848.2,0.04,0,0.38,2.11,0.01,0,0.01,30,24.52,18.9,4.39,0.14,3.45,0.82,0.05,6.89,2.66,porphyry,PRI,POT,0.47
S-743,2633.49,3420.39,3867.05,2633.49,3420.39,3867.05,0.01,0,0.7,0.69,0.01,0,0.01,33.19,17.21,17.96,2.65,0.33,4.46,0.57,0.14,2.83,2.64,porphyry,PRI,POT,0.42
S-744,2599.66,3454.56,3886.18,2599.66,3454.56,3886.18,0.02,0,0.53,0.7,0.03,0,0.01,30.19,17.03,21.09,2.99,0.42,5.52,0.88,0.09,3.91,2.66,porphyry,PRI,POT,0.38
S-745,2708.77,3409.14,3848.67,2708.77,3409.14,3848.67,0.04,0,0.8,0.66,0.01,0,0.01,26.38,16.24,17.56,3.47,0.16,4.83,0.64,0.05,2.71,2.64,porphyry,PRI,POT,0.41
S-746,2112.98,3634.47,3849.99,2112.98,3634.47,3849.99,0.01,0,0.93,0.46,0.05,0,0.01,22.46,19.57,38.96,3.06,0.23,4.57,0.55,0.04,4.91,2.65,breccia,PRI,POT,0.45
S-747,3017.31,3323.35,3872.41,3017.31,3323.35,3872.41,0.03,0,0.88,0.47,0.01,0,0.01,23.52,12.44,11.22,3.57,0.16,6.89,1.29,0.09,3.06,2.68,porphyry,PRI,POT,0.37
S-748,2906.64,3382.21,3852.4,2906.64,3382.21,3852.4,0.03,0,0.67,0.96,0.03,0,0.01,25.08,16.43,15.66,4.11,0.36,8.32,1.1,0.18,3.92,2.66,porphyry,PRI,POT,0.43
S-749,2651.46,3486.09,3875.24,2651.46,3486.09,3875.24,0.01,0,0.62,0.33,0.02,0,0.01,23.83,20.28,21.37,1.88,0.15,6.42,0.77,0.08,4.04,2.65,porphyry,PRI,POT,0.43
S-750,2777.26,3514.75,3859.35,2777.26,3514.75,3859.35,0.01,0,0.78,0.44,0.02,0,0.01,22.88,18.67,16.87,2.93,0.28,6.65,0.93,0.04,5.11,2.68,porphyry,PRI,POT,0.45
S-751,2777.23,3525.65,3831.59,2777.23,3525.65,3831.59,0.03,0,1,0.89,0.01,0,0.01,19,20.1,17.9,2.28,0.09,6.25,0.66,0.07,3.51,2.66,porphyry,PRI,POT,0.37
S-752,2732.61,3443.35,3776.78,2732.61,3443.35,3776.78,0.03,0.01,0.4,0.86,0.04,0,0.01,24.92,20.13,18.15,1.59,0.55,4.72,0.14,0.01,2.15,2.65,porphyry,PRI,POT,0.4
S-753,2966.37,3339.32,3803.39,2966.37,3339.32,3803.39,0.01,0,0.85,0.76,0.11,0,0.01,25.47,16.82,10.99,2.25,0.11,8.2,0.9,0.03,2.35,2.68,porphyry,PRI,POT,0.42
S-754,2886.88,3315.34,3811.85,2886.88,3315.34,3811.85,0.03,0,0.91,0.61,0.12,0,0.01,23.06,20.84,17.76,4.36,0.59,5.77,1.12,0.03,4.82,2.67,porphyry,PRI,POT,0.45
S-755,2885.13,3410.3,3802.08,2885.13,3410.3,3802.08,0.03,0,0.31,0.88,0.09,0,0.01,20.33,24.49,16.46,4.3,0.66,6.01,1.4,0.05,3.91,2.66,porphyry,PRI,POT,0.46
S-756,2651.93,3462.46,3804.51,2651.93,3462.46,3804.51,0.03,0,0.7,0.64,0.02,0,0.01,24.27,20.81,18.15,2.63,0.45,6.5,0.71,0.06,3.08,2.67,porphyry,PRI,POT,0.38
S-757,2652.39,3453.17,3776.23,2652.39,3453.17,3776.23,0.01,0,0.73,0.53,0.04,0,0.01,25.49,20.47,18.49,2.89,0.45,5.19,0.52,0.06,2.88,2.67,porphyry,PRI,POT,0.36
S-758,2652.23,3456.25,3785.64,2652.23,3456.25,3785.64,0.02,0,0.74,0.33,0.05,0,0.01,24.54,19.43,19.92,1.58,0.28,6.86,0.61,0.05,4.01,2.65,porphyry,PRI,POT,0.37
S-759,2652.75,3446.93,3757.23,2652.75,3446.93,3757.23,0.01,0,0.62,0.56,0.01,0,0.01,25.66,18.84,17.27,1.36,0.36,6.38,0.71,0.03,4.28,2.66,porphyry,PRI,POT,0.39
S-760,2652.56,3450.04,3766.73,2652.56,3450.04,3766.73,0.02,0,1.16,0.77,0.02,0,0.01,27.76,20.91,16.84,4.07,0.66,5.91,0.79,0.02,4.8,2.67,porphyry,PRI,POT,0.39
S-761,2978.23,3514.97,3807.67,2978.23,3514.97,3807.67,0.01,0,0.79,0.6,0.16,0,0.01,21.25,19.33,25.21,2.13,0.2,6.32,1.05,0.04,2.32,2.66,porphyry,PRI,POT,0.37
S-762,2486.67,3435.14,3800.28,2486.67,3435.14,3800.28,0.02,0,0.61,0.53,0.01,0,0.01,27.88,24.78,22.23,1.93,0.08,5.55,0.52,0.06,3.98,2.62,porphyry,PRI,POT,0.45
S-763,2487.85,3416.61,3769.44,2487.85,3416.61,3769.44,0.01,0,0.65,0.38,0.02,0,0.01,25.52,21.35,26.05,2.43,0.19,6.66,0.47,0.25,5.37,2.64,porphyry,PRI,POT,0.44
S-764,3509.74,3658.34,4210.53,3509.74,3658.34,4210.53,0.01,0,2.26,0.27,0.04,0,0.01,25.51,16.3,23.51,8.72,1.13,3.22,2.13,0.08,5.4,2.69,porphyry,PRI,POT,0.43
S-765,3490.76,3656.53,4178.82,3490.76,3656.53,4178.82,0.01,0,1.38,0.34,0.05,0,0.01,25.21,17.65,23.84,7.15,1.06,4.08,1.46,0.08,6.22,2.68,porphyry,PRI,POT,0.4
S-766,3462.47,3621.33,4195.34,3462.47,3621.33,4195.34,0.01,0,1.74,0.48,0.05,0,0.01,28.03,14.8,19.15,9.23,0.7,3.48,1.34,0.11,5.11,2.68,porphyry,PRI,POT,0.37
S-767,3490.15,3645.94,4116.81,3490.15,3645.94,4116.81,0.01,0,1.49,0.28,0.2,0,0.01,29.77,16.67,18.93,5.46,0.56,5.2,0.89,0.09,4.06,2.66,porphyry,PRI,POT,0.47
S-768,3463.42,3679.72,4182.34,3463.42,3679.72,4182.34,0.01,0,1.5,0.18,0.07,0,0.01,26.05,18.79,22.1,3.31,0.65,5.4,1.22,0.11,4.39,2.68,porphyry,PRI,POT,0.45
