Chalcocite-Digenite,K-Feldspar,minzone,alteration,Ai
0.182336869,8.31,SSF,POT,0.22
0,4.93,PRI,CLO-SER,0.2
0.51,17.07,SSF,POT,0.27
0.49,15.27,SSF,POT,0.22
0.008929999,9.52,PRI,POT,0.21
0.22,13.98,SSF,POT,0.26
0.14,2.1,SSF,POT,0.07
0.63,2.62,SSF,POT,0.09
0.17,19.75,SSF,POT,0.4
0.8073239,5.65,SSF,POT,0.21
0.001217594,8.93,SSD,POT,0.35
0.01601704,16.44,PRI,POT,0.41
0.302513672,11.04,SSF,POT,0.25
0.665704798,3.36,SSF,POT,0.19
0.04,20.96,SSD,POT,0.31
0.38,4.76,SSF,AR,0.11
0.25,4.09,SSF,POT,0.08
0.24205787,3.61,SSF,CLO-SER,0.18
0.04,9.53,SSF,POT,0.19
0.00290287,12.2,PRI,CLO-SER,0.45
0.13,15.85,SSF,POT,0.3
0.19,15.19,SSF,POT,0.2
0.012088093,21.47,PRI,POT,0.39
0.34,18.58,SSF,POT,0.39
0.17,16.73,SSF,POT,0.25
0.22,15.22,SSF,POT,0.25
0.55,7.85,SSF,POT,0.25
0.62,10.28,SSF,POT,0.19
0.02,17.04,PRI,POT,0.34
0.76,5.88,SSF,POT,0.24
0.02,18.68,PRI,POT,0.38
0.01,21.48,PRI,POT,0.41
0,14.89,SSD,POT,0.24
0.24,19.88,SSF,POT,0.41
0.01,16.71,SSD,POT,0.52
0.03,17.06,PRI,POT,0.46
0.08044263,9.27,SSF,POT,0.24
0,4.14,SSD,CLO-SER,0.2
0.00572261,10.88,PRI,CLO-SER,0.52
0.732993617,10.94,SSF,POT,0.27
0.02,20.91,PRI,POT,0.39
0.13,20.84,SSF,POT,0.31
0.02,17.48,PRI,POT,0.44
0.01,13.84,PRI,POT,0.31
0.01,8.08,SSF,CLO-SER,0.26
0.94,7.55,SSF,POT,0.2
0.01,15.46,PRI,POT,0.55
0.09,6.79,SSD,CLO-SER,0.3
0,8.82,PRI,POT,0.27
0.69,8.82,SSF,POT,0.23
0.33,19.71,SSF,POT,0.33
0.03,23.38,PRI,POT,0.45
0.57,5.29,SSF,POT,0.23
0.01,9.72,PRI,POT,0.31
0.01,17.69,PRI,POT,0.37
0.02,16.27,PRI,POT,0.3
0.38,6.14,SSF,POT,0.22
0.01,16.67,PRI,POT,0.47
0.07,23.21,PRI,POT,0.57
0.03,16.64,SSD,POT,0.37
0.138725677,1.85,SSF,POT,0.3
0.09,23.9,PRI,POT,0.42
0,15.25,SSD,POT,0.52
0.016374641,20.59,PRI,POT,0.4
0.101776187,11.94,SSD,POT,0.25
0.02,13.91,PRI,POT,0.36
0.24,5.68,SSF,POT,0.12
0.069978373,1.12,SSF,POT,0.15
0.1,7.12,SSF,POT,0.23
0.03,14.89,PRI,POT,0.35
0.46,3.95,SSF,POT,0.17
0.4,9.94,SSF,AR,0.05
0.01,16.8,PRI,POT,0.38
0.15,12.4,SSF,POT,0.22
0.29,9.3,SSF,POT,0.2
0.48,8.42,SSF,POT,0.2
0.01,9.72,PRI,POT,0.35
0.27,13.63,SSF,POT,0.16
0.003014578,14.26,SSD,POT,0.52
0.016925089,8.66,PRI,POT,0.38
0.02,22.95,PRI,POT,0.41
0.31,9.06,SSF,POT,0.21
0.33,8.49,SSF,POT,0.25
0.13,11.7,SSF,POT,0.19
0.01,14.99,PRI,POT,0.36
0.01,11.68,PRI,POT,0.34
0.62,0.97,SSF,AR,0.07
0.04,17.12,PRI,POT,0.39
0.25,6.21,SSF,POT,0.16
0.008345502,15.13,PRI,POT,0.51
0.02,15.11,PRI,POT,0.39
0.002049274,14.36,PRI,POT,0.35
0.023292688,15.9,SSD,POT,0.4
0.11,11.79,SSF,POT,0.22
0.018514907,1.66,SSD,CLO-SER,0.21
0.337658284,3.27,SSF,POT,0.14
0.63,3.79,SSF,POT,0.21
0.2,15.62,SSF,POT,0.18
0.25,16.47,SSF,POT,0.21
0.07,9.14,SSF,POT,0.22
0.07,19.34,SSD,POT,0.48
0.49,13.03,SSF,POT,0.35
0.16,17.97,SSF,POT,0.31
0,9.12,PRI,POT,0.29
0.407154732,11.56,SSF,POT,0.29
0.16,9.51,SSF,POT,0.26
0.02,13.37,PRI,POT,0.39
0.01326328,15.94,PRI,POT,0.47
0.02,13.77,SSF,POT,0.27
0.002117065,2.25,PRI,POT,0.27
0.05,7.53,SSF,POT,0.21
0.25,15.54,SSF,POT,0.29
0.31,14.84,SSF,POT,0.31
0.262882207,0.67,SSF,POT,0.14
0.03,18.99,PRI,POT,0.41
0.01,16.67,SSD,POT,0.45
0.04,19.41,PRI,POT,0.34
0.41,3.55,SSF,POT,0.12
